Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
5 Bed Villa with En Suite in Lavington,Lavington,5,,"5 Bedrooms Plus DsQ,New House","KSh 400,000/ month"
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,5,5,5 Bedroom + DSQ Townhouse for Rent – Kileleshwa,"KSh 350,000/ month"
3 Bed Townhouse with En Suite at Kiambu Road,"Kiambu road, Runda, Westlands",3,3,Executive 3 bedroom townhouse all ensuite with...,"KSh 210,000/ month"
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",5,5,Elegant 5-Bedroom House for Rent in Spring Vall...,"KSh 400,000/ month"
1 Bed House in Ridgeways,Ridgeways,1,1,Mordern 1 Bedroom House to Rent at Ridgeways,"KSh 120,000/ month"
10 Bed House with En Suite in Runda,"Runda, Westlands",10,,10 Bedroom House for Rent in Runda,"KSh 1,993,000/ month"
3 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",3,3,Charming 3 Bedroom Cottage To Let Off Peponi Ro...,"KSh 200,000/ month"
2 Bed House with En Suite at Gigiri Area,"Gigiri Area, Runda, Westlands",2,2,RUNDA ESTATE: 2 Bedroom Furnished and Serviced...,"KSh 140,000/ month"
4 Bed Townhouse with En Suite at Milimani,"Milimani, Dennis Pritt",4,2,Milimani : 4 Bedroom Old Model Maisonette in a...,"KSh 120,000/ month"
5 Bed House with En Suite at Gigiri,"Gigiri, Westlands",5,5,Gigiri : Commercial Space / Own Compound Office...,"KSh 500,000/ month"
4 Bed Townhouse with En Suite at Milimani,"Kilimani, Milimani, Dennis Pritt",4,3,Kilimani - Milimani – Denis Pritt - 4 Bedroom U...,"KSh 120,000/ month"
2 Bed Townhouse with En Suite at Lavington,"Kileleleshwa, Lavington, Kileleshwa",2,4,Kileleshwa : 3 Bedroom Furnished / Unfurnished...,"KSh 200,000/ month"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",5,6,Loresho : 5 & 6 Bedroom Ambassadorial Mansion O...,"KSh 500,000/ month"
4 Bed House with En Suite at Kitisuru,"Peponi Road, Kitisuru, Spring Valley, Westlands",4,5,Spring Valley : 4-Bedroom All-Ensuite Town Hous...,"KSh 500,000/ month"
3 Bed House with En Suite at Tigoni,"Tigoni, Limuru",3,4,Tigoni : 3 Bedroom NEW Luxurious All Ensuite  C...,"KSh 250,000/ month"
5 Bed Townhouse with En Suite at Lavington,Lavington,5,5,Introducing a Masterpiece of Luxury Living – Br...,"KSh 400,000/ month"
3 Bed House with Staff Quarters in Kitengela,Kitengela,3,3,3 Bedrooms with servant quarter to let in Kiten...,"KSh 45,000/ month"
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4,4,4 bedrooms town house for Rent Ridgeways,"KSh 300,000/ month"
2 Bed House with En Suite at Runda,"Runda, Westlands",2,3,Elegant 2-Bedroom Furnished Cottage in Runda –...,"KSh 233,000/ month"
4 Bed Townhouse with En Suite at Brookside,"0402n, Brookside, Westlands",4,4,4-bedroom townhouse in brookside,"KSh 270,000/ month"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Stunning Four-Bedroom House for Rent in Kitisur...,"KSh 520,000/ month"
5 Bed House with En Suite in Kyuna,"Kyuna, Westlands",5,5,Luxurious Five Bedroom House for Rent in Kyuna,"KSh 400,000/ month"
4 Bed Villa with En Suite at Runda,"Runda, Westlands",4,6,"House for rent In Runda, 4 bedroom","KSh 370,000/ month"
4 Bed House with En Suite in Nyari,"Nyari, Westlands",4,4,Luxurious Four-Bedroom House for Rent in Nyari,"KSh 450,000/ month"
5 Bed Villa with En Suite at Lower Kabete Rd,"Lower kabete rd, Lower Kabete, Westlands",5,6,EXQUISITE FULLY FURNISHED 5 BEDROOM VILLAS ALL...,"KSh 1,000,000/ month"
4 Bed House with En Suite in Karen,Karen,4,4,4 bedroom house to let 3KE1694536,"KSh 250,000/ month"
4 Bed House with Garden in Karen,Karen,4,2,Safari lodge style 4-bedroom home with a 2-bedr...,"KSh 395,000/ month"
5 Bed Townhouse with En Suite at Off Convent Drive,"66, off Convent Drive, Lavington",5,6,5 bedroom townhouse with sq for Rent in Lavingt...,"KSh 340,000/ month"
5 Bed Villa with En Suite in Lavington,Lavington,5,5,5-bedroom ensuite villa For Rent,"KSh 350,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,4,4 bedrooms furnished house for rent,"KSh 300,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,"KSh 260,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,"KSh 180,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,6,5 Bedroom Town House in Lavington,"KSh 520,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 Bedroom Town House in Lavington,"KSh 310,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 Bedroom Town House for Rent,"KSh 385,000/ month"
4 Bed House with Garden at Loresho,"loresho, Loresho, Westlands",4,2,Cosy four bedrooms bungalow,"KSh 160,000/ month"
4 Bed House with En Suite at North Muthaiga,"North Muthaiga, Muthaiga",4,3,Exclusive four bedroom house,"KSh 230,000/ month"
3 Bed House with En Suite at Westlands,"westlands, Loresho, Westlands",3,3,Beautiful three bedroom guest house,"KSh 208,000/ month"
3 Bed Townhouse with En Suite at Off Ridgeways Rd,"4, Off Ridgeways Rd, Runda, Westlands",3,3,Charming 3- Bedroom  cottage for rent in Ridgew...,"KSh 280,000/ month"
5 Bed Townhouse with En Suite at Lavington,Lavington,5,5,Presenting a Masterpiece by Nascent Properties:...,"KSh 350,000/ month"
6 Bed House with En Suite in Runda,"Runda, Westlands",6,6,Ambassadorial house in Runda features a spaciou...,"KSh 520,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,🌟 EXTRAORDINARY 4-BEDROOM FAMILY HAVEN IN RUND...,"KSh 280,000/ month"
6 Bed House with En Suite at Gigiri,"Gigiri, Westlands",6,6,✨ EXTRAORDINARY 6-BEDROOM DETACHED HOME FOR RE...,"KSh 450,000/ month"
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",5,5,Elegant 5-Bedroom House for Rent in Spring Vall...,"KSh 400,000/ month"
2 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",2,2,Charming Two-Bedroom Furnished Apartment in Kit...,"KSh 235,000/ month"
5 Bed House with En Suite in Muthaiga,Muthaiga,5,5,Home Sweet Home: Five-Bedroom House for Rent in...,"KSh 570,000/ month"
5 Bed House with En Suite at Un,"Un, Gigiri, Westlands",5,5,✨ EXCLUSIVE 5-BEDROOM LUXURY HOME FOR RENT IN...,"KSh 750,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,Comfy & Stylish 2-Bedroom Cottage in Runda,"KSh 200,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,🌟 IDEAL FOR A SILENT OFFICE OR FAMILY HAVEN –...,"KSh 400,000/ month"
2 Bed House with En Suite at Runda,"Runda, Westlands",2,2,Discover a World of Luxury and Tranquility with...,"KSh 280,000/ month"
4 Bed Townhouse with En Suite at Westlands,"Westlands, Westlands Area",4,4,🌟 Nascent Properties Presents: The Epitome of...,"KSh 250,000/ month"
4 Bed House with En Suite at Karen,"KAREN, Karen",4,4,Exquisite 4-Bedroom Villa for Rent in Karen,"KSh 350,000/ month"
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",4,4,Executive 4 Bedrooms Town house,"KSh 275,000/ month"
2 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",2,2,Charming two bedroom fully furnished and servic...,"KSh 400,000/ month"
3 Bed House with En Suite in Gigiri,"Gigiri, Westlands",3,3,Charming Three-Bedroom Cottage for Rent in Gigi...,"KSh 323,100/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Contemporary Family Home Enjoying Tranquil Loca...,"KSh 500,000/ month"
3 Bed House with En Suite in Runda,"Runda, Westlands",3,3,Elegant Three-Bedroom Home in a Secure Compound...,"KSh 300,000/ month"
2 Bed House with En Suite at Runda,"Runda, Westlands",2,2,✨ CHARMING 2-BEDROOM HOUSE IN RUNDA – YOUR IDE...,"KSh 170,000/ month"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4,,4 Br House  for rent in Kitisuru,"KSh 387,000/ month"
3 Bed House with En Suite at Awali Estate,"Awali Estate, Vipingo",3,3,Stunning 3-Bedroom Maisonette for Rent at Awali...,"KSh 150,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Beautiful Four-Bedroom House in Runda,"KSh 280,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Rustic Five-Bedroom House for Rent in Runda,"KSh 450,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Luxurious Five Bedroom House for rent in Runda,"KSh 400,000/ month"
4 Bed House with En Suite in Loresho,"Loresho, Westlands",4,4,Serene Four-Bedroom Cottage for Rent in Loresho,"KSh 220,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,Exquisite Five-Bedroom House for Rent in Kitisu...,"KSh 550,000/ month"
5 Bed House with En Suite in Karen,Karen,5,5,Luxurious Five-Bedroom Home in Karen – For Rent...,"KSh 400,000/ month"
4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",4,3,Beautiful four  bedroom townhouse,"KSh 300,000/ month"
8 Bed Townhouse with En Suite at Karen,Karen,8,8,8 Bed Townhouse with En Suite at Karen,"KSh 500,000/ month"
3 Bed Townhouse with En Suite at Runda,"Runda, Westlands",3,3,Modern 3 bedroom townhouse for rent,"KSh 580,000/ month"
4 Bed House with En Suite at Westlands,"westlands, Rosslyn, Westlands",4,4,Bright & Charming 4-Bedroom Furnished Home with...,"KSh 640,000/ month"
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",4,3,Magnificently designed 4 bedrooms corner townho...,"KSh 180,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Comfy and Stylish Five-Bedroom Furnished House...,"KSh 580,000/ month"
4 Bed House with En Suite in Membley,"Membley, Ruiru",4,4,🏠 Prime Location! Stunning 4-Bedroom House for...,"KSh 130,000/ month"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,"Elegant 4-Bedroom House with SQ, Gym & Pool in...","KSh 270,000/ month"
5 Bed House with En Suite in Nyari,"Nyari, Westlands",5,5,Luxurious Five-Bedroom House for Rent in Nyari,"KSh 650,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Stunning Five-Bedroom House for Rent in Runda,"KSh 560,000/ month"
5 Bed Villa with En Suite at Alonzi Road,"Alonzi road, Garden Estate, Roysambu",5,5,🏡 Exquisite 5-Bedroom Ensuite Home for Sale/Re...,"KSh 300,000/ month"
3 Bed House with En Suite in Karen,Karen,3,3,A Comfortable Nest – Three-Bedroom Furnished Co...,"KSh 413,000/ month"
3 Bed Townhouse with En Suite at Lavington West,"Lavington West, Lavington",3,2,Specious 3 bedrooms maisonette plus dsq and pri...,"KSh 75,000/ month"
5 Bed House with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",5,4,Prestigious 5 bedroom all ensuite house plus fa...,"KSh 400,000/ month"
5 Bed Townhouse with En Suite at Apple Cross,"66, Apple cross, Lavington",5,6,5 bedroom townhouse for Rent  in Lavington Appl...,"KSh 350,000/ month"
4 Bed Townhouse with En Suite at Lavington,"43, Lavington",4,6,5 bedrooms Townhouse With DSQ For Rent Off conv...,"KSh 300,000/ month"
5 Bed House with Staff Quarters in Kitisuru,"Old kitisuru Nairobi, Kitisuru, Westlands",5,5,A 5bdrm family house to let in kitisuru.,"KSh 450,000/ month"
4 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",4,5,4 bedrooms Townhouse With DSQ For Rent Off conv...,"KSh 260,000/ month"
4 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",4,5,4 bedrooms Townhouse With DSQ For Rent Off conv...,"KSh 160,000/ month"
4 Bed Townhouse with Backup Generator at Convent Drive,"89, Convent Drive, Lavington",4,5,Lavington convent 4 bedrooms,"KSh 160,000/ month"
3 Bed House with Garden at Kerarapon,"Kerarapon, Karen",3,2,"THREE BEDROOM TOWNHOUSE IN KERARAPON, KAREN","KSh 180,000/ month"
4 Bed Townhouse with Staff Quarters at Valley Arcade,"43, Valley Arcade, Lavington",4,4,4 bedroom townhouse with sq for sale in Lavingt...,"KSh 160,000/ month"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",5,5,5 bedroom house to rent in loresho,"KSh 550,000/ month"
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington",4,3,Stunning 4 bedrooms townhouse plus dsq and priv...,"KSh 250,000/ month"
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",4,3,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN WE...,"KSh 290,000/ month"
6 Bed Villa with En Suite in Loresho,"Loresho, Westlands",6,7,Loresho’s New 6 Bedroom Villas available to let,"KSh 580,000/ month"
5 Bed House with En Suite at Lavington,"lavington, Lavington",5,5,Beautiful five  bedrooms house,"KSh 300,000/ month"
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Stunning 4 Bedroom + DSQ Villa for Rent in Kiti...,"KSh 380,000/ month"
3 Bed House with En Suite in Ridgeways,Ridgeways,3,3,🌟 NASCENT PROPERTIES PRESENTS: YOUR SERENE ESC...,"KSh 410,000/ month"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,4,4,Luxurious Modern 4-Bedroom Townhouse for Rent i...,"KSh 285,000/ month"
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Modern 4 Bedroom + DSQ Villa for Rent in Kitisu...,"KSh 510,000/ month"
1 Bed House with En Suite at Windy Ridge,"Windy Ridge, Karen",1,1,Fully Furnished 1 Bedroom Cottage To Let in Kar...,"KSh 140,000/ month"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,🌟 UNMATCHED LUXURY LIVING – 4-BEDROOM TOWNHOUS...,"KSh 340,000/ month"
2 Bed House with En Suite at Muthaiga,Muthaiga,2,2,Fully furnished  2 bedroom duplex townhouse in...,"KSh 360,000/ month"
7 Bed House with Staff Quarters in Lavington,"Lavington Nairobi, Lavington",7,7,A 7bdrm family house to let in lavington.,"KSh 600,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda Nairobi, Runda, Westlands",4,5,A 4bdrm townhouse to let in runda.,"KSh 3,250/ month"
4 Bed Townhouse with En Suite at Off Convent Drive,"Off Convent Drive, Lavington",4,5,A 4 bedrooms townhouse with 2 SQs for rent,"KSh 300,000/ month"
4 Bed Townhouse with En Suite at Off Convent Drive,"Off Convent Drive, Lavington",4,5,A 4 bedrooms townhouse with an SQ for Rent,"KSh 300,000/ month"
4 Bed Townhouse with En Suite at Off General Mathenge Drive,"Off General Mathenge drive, Westlands Area, Westlands",4,5,A 4 bedrooms townhouse with an SQ for Rent,"KSh 250,000/ month"
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",4,4,Stylishly designed 4 Bedroom Townhouse plus fam...,"KSh 340,000/ month"
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN RI...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,4 bedroom townhouse to rent in kitisuru,"KSh 380,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,AN EXECUTIVE 5BEDROOM DOUBLE STOREY FOR RENT IN...,"KSh 550,000/ month"
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",5,5,AN EXECUTIVE 5BEDROOM TOWN HOUSE FOR RENT IN LO...,"KSh 570,000/ month"
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",5,5,AN EXECUTIVE 5BEDROOM DOUBLE STOREY FOR RENT IN...,"KSh 580,000/ month"
2 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,2,2,Kileleshwa Large 2 Bedroom Townhouse For Rent.,"KSh 190,000/ month"
4 Bed Townhouse with En Suite at Lavington,"Maziwa, Lavington",4,4,Most attractive 4 bedrooms townhouse plus famil...,"KSh 160,000/ month"
4 Bed Villa with En Suite at Ruiru,"Ruiru, Eastern ByPass",4,5,MODERN MAISONETTES TO LET,"KSh 100,000/ month"
2 Bed House with En Suite in Karen,Karen,2,2,2-Bedroom All En-Suite Apartment/Cottage for Re...,"KSh 100,000/ month"
2 Bed House with En Suite in Karen,Karen,2,2,Furnished 2-Bedroom All En-Suite Apartment/Cott...,"KSh 180,000/ month"
3 Bed Townhouse with En Suite at Runda,"Runda, Westlands",3,3,4274sq ft  3 Bedroom Townhouse available for RE...,"KSh 580,000/ month"
4 Bed House with En Suite at Migaa Golf Estate,"Centre Piece, Migaa Golf Estate, Kiambu Road",4,6,4 bedroom all ensuite plus sq,"KSh 130,000/ month"
4 Bed House with Staff Quarters in Kiambu Road,Kiambu Road,4,3,MASSIVE 4 BEDROOM HOUSE TO LET IN KUGERIA ESTAT...,"KSh 250,000/ month"
5 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,ELEGANT 4 BEDROOM HOUSE TO LET IN KUGERIA ESTAT...,"KSh 200,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Elegant 5-Bedroom Home in the Heart of Runda,"KSh 400,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Elegant and Secure Five Bedroom House for Rent...,"KSh 650,000/ month"
6 Bed House with En Suite in Runda,"Runda, Westlands",6,6,6 bedroom all en-suite standalone house,"KSh 492,000/ month"
4 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",4,4,Comfortable Nest - 4-Bedroom Villa for Rent in...,"KSh 540,000/ month"
4 Bed House with En Suite in Nyari,"Nyari, Westlands",4,4,Elegant 4-Bedroom House for Rent in Nyari,"KSh 380,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Spacious 5-Bedroom Home for Rent in Runda,"KSh 350,000/ month"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,Elegant Four-Bedroom House for Rent in Spring V...,"KSh 300,000/ month"
5 Bed House with En Suite at Un,"UN, Gigiri, Westlands",5,5,Exquisite 5-Bedroom Home for Rent in Prestigiou...,"KSh 400,000/ month"
5 Bed House with En Suite in Karen,Karen,5,5,Luxurious Five-Bedroom Home in Karen – For Rent...,"KSh 400,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Elegant Five-Bedroom House for Rent in Runda,"KSh 550,000/ month"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Comfy & Stylish 4-Bedroom House for Rent in Kit...,"KSh 750,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Your Dream Home Awaits – 5-Bedroom Villa with P...,"KSh 450,000/ month"
6 Bed House with En Suite at Elias Zaragotis,"1, Elias Zaragotis, Runda, Westlands",6,6,Grand 6-Bedroom Mansion for Rent in Runda – Lux...,"KSh 450,000/ month"
2 Bed House with En Suite in Nyari,"Nyari, Westlands",2,2,Charming Two-Bedroom Cottage for Rent in Nyari,"KSh 260,000/ month"
6 Bed Villa with En Suite in Loresho,"Loresho, Westlands",6,6,Exquisite 5 and 6 Bedrooms Villa with Private P...,"KSh 650,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,Luxurious Five-Bedroom House for Rent in Kitisu...,"KSh 450,000/ month"
4 Bed Townhouse with En Suite at Kiambu Road,"Kiambu road, Muthaiga",4,5,Excellent modern and spacious 4 bedroom townhou...,"KSh 250,000/ month"
5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",5,5,Spectaculars 5 bedrooms villa plus family rm an...,"KSh 300,000/ month"
4 Bed Townhouse with Swimming Pool at Othaya,"Othaya, Lavington",4,4,stylishly designed 4 bedrooms villas plus 1 bee...,"KSh 260,000/ month"
5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington",5,5,Magnificent 5 bedroom townhouse plus family rm...,"KSh 280,000/ month"
4 Bed House with En Suite in Thigiri,"Thigiri, Westlands",4,4,AN EXECUTIVE  4 BEDROOM   DOUBLE STOREY FOR REN...,"KSh 510,000/ month"
5 Bed House with En Suite at Varsityville,"VARSITYVILLE, Kamakis, Ruiru",5,5,PRESTIGIOUS MAISONNETTES TO  LET IN VARSITYVILL...,"KSh 140,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5BEDROOM FULLY FURNISHED TOWN HOUSE FOR RENT IN...,"KSh 380,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,"KSh 310,000/ month"
1 Bed House with En Suite in Karen,Karen,1,2,2 Bedroom Apartment To Let in Karen,"KSh 160,000/ month"
1 Bed House with En Suite in Karen,Karen,1,2,Unfurnished 1 Bedroom Apartment To Let in Karen,"KSh 75,000/ month"
3 Bed House with En Suite at Ridgeways,"Ridgeways, Kiambu Road",3,3,Beautiful 3 bedroom cottage for rent in a secur...,"KSh 400,000/ month"
